Doc_ID,CleanText,Sentiment
1,b so today massachusetts finalized rest wuhancoronavirus vaccination timeline and yet still de xe x xa http co lwulsrpm w,Positive
2,b and shall forever wuhancoronavirus http co ipcmob cvw,Neutral
3,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co sh q zjq,Positive
4,b state department lead investigator say flumanchu may escaped lab n nhttps co eotcqetzj n nvia xe x xa http co m q uqffjt,Negative
5,b tedros you fired n xe x c x xe xac x nhttps co nkacos ld n ncoronaviruschina pndahugger ncoronachan corona chan xe x xb xe x xad xe x x xe x xa xe x x xe x x xe x xa http co m cyhc,Neutral
6,b aymanm timobrien calling china virus problem asian hate problem xe x x mix ni asia xe x xa http co lb ig s u,Negative
7,b calling china virus problem asian hate problem xe x x mix ni asian and i call xe x xa http co i qjhycep,Negative
8,b timobrien calling china virus problem asian hate problem xe x x mix ni asian and i xe x xa http co e z vlwdr,Negative
9,b mmpadellan ok nwuhancoronavirus nwuflu nkungflu nwuhanchinesecoronavirus,Negative
10,b gordongchang not hong kong world n nccpchina held accountable n n hongkong n xe x xa http co okaq boanq,Neutral
11,b trump accomplishment term n nadd nobel peace prize nomination actual accomplishment incl promot xe x xa http co ia swlzq,Positive
12,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case xe x xa http co wiyoh,Neutral
13,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co s kn bav,Neutral
14,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co ycl ygfjpr,Positive
15,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co bn ruk gz,Positive
16,b tedros you fired n xe x c x xe xac x nhttps co nkacos ld ncoronaviruschina pndahugger ncoronachan corona chan xe x xb xe x xad xe x x xe x xa xe x x xe x x xe x xa http co yjelptq br,Negative
17,b globaltimesnews covid impact thanks dirty wet market wuhan n nwuhanvirus wuhancoronavirus china xe x xa http co az twho,Neutral
18,b sharpiedj michaelpsenger he forgot infected ccpvirus wuhancoronavirus past,Neutral
19,b india xf x f x xae xf x f x xb example supplying vaccine country nwuhancoronavirus pandemic destroyed world xf x f x c x n xe x xa http co qm wicxtwf,Neutral
20,b mattwridley wuhancoronavirus spread world thanks who help ccp ccp concealmen xe x xa http co ylwjc goz,Positive
21,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case xe x xa http co xzxxm hul,Neutral
22,b state allow type diabetic get vaccinated stage why massachusetts massgovernor charliebakerma xe x xa http co gbq rgaf,Neutral
23,b ianmsc because wuhancoronavirus already halloween but virus fundamentalist want hear,Neutral
24,b min investigation thelizhayes now wuhancoronavirus spread world thanks who xe x xa http co rkvsuq,Positive
25,b repbrianmast wuhancoronavirus spread world thanks who help ccp ccp concealme xe x xa http co pfclhsnw,Neutral
26,b repbrianmast wuhancoronavirus spread world thanks who help ccp ccp concealme xe x xa http co soyi vvhlr,Neutral
27,b globaltimesnews pakistan citizen known guinea pig chinese experiment this time poor quality xe x xa http co ofx cixfxr,Negative
28,b hotmanila william saunders slightly behind wuhancoronavirus w k da poon hand still waaaay ahead k amp still rising,Negative
29,b china asean to fair china allow foreigner contracted wuhancoronavirus enter prc,Negative
30,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case xe x xa http co n rptyzu,Neutral
31,b thisisgba china could simplify visa policy foreigner applying enter chinese mainland via hk ha xe x xa http co fsiqevb xz,Negative
32,b snowflakstears i still waiting extra week spring break deborah birx it two xe x xa http co pe ozddfcu,Neutral
33,b globaltimesnews who wuhan epicentre coronavirus covid n nchinavirus wuhanvirus xe x xa http co oftefquuq,Positive
34,b repbrianmast wuhancoronavirus spread world thanks who help ccp ccp concealme xe x xa http co zxvuzqhuho,Neutral
35,b tedros you fired n xe x c x xe xac x nhttps co nkacos ld n ncoronaviruschina pndahugger ncoronachan corona chan xe x xb xe x xad xe x x xe x xa xe x x xe x x xe x xa http co g z scy w,Positive
36,b catcarterpi it wuhancoronavirus,Neutral
37,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case xe x xa http co mln jjg,Neutral
38,b carolynhparrish amazon amazonca every right fight shutdown order irresponsible canadian politic xe x xa http co bx nzui,Negative
39,b globaltimesnews lmao n nno amount glossing going change history book wuhan epice xe x xa http co hvgeoa hk,Neutral
40,b so say person whose country spreader wuhancoronavirus chinesevirus ccpvirus http co jtkwhz huz,Neutral
41,b sankei news why japan could hold olympics probably it pandemic caused b xe x xa http co lkahp xthq,Neutral
42,b amazon amazonca n ncanadian authority shut warehouse brampton ontario citing spread xe x xa http co ldynufik,Neutral
43,b jillpromoli allowing march meeting brampton also contributes wuhancoronavirus situation n nhttps co fekq i h,Neutral
44,b tedros you fired n xe x c x xe xac x nhttps co nkacos ld ncoronaviruschina pndahugger ncoronachan corona chan xe x xb xe x xad xe x x xe x xa xe x x xe x x xe x xa http co jwftcftovl,Negative
45,b couldn agree just thing started getting normal covidiots messed refusing wearamask amp xe x xa http co fsqjrijq x,Negative
46,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case xe x xa http co ijpm gxtym,Neutral
47,b beermug k besides pervert throwing sick old people nursing home height wuhancoronavirus much xf x f xa xb xe x x xe x x xef xb x f,Negative
48,b gordongchang ssilovehk wuhancoronavirus good example nccp terrorist nhumanrightsviolations nboycottbeijing,Neutral
49,b alphacentauriii don forget who ccp nccp terrorist nhumanrightsviolations nwuhancoronavirus nboycottbeijing,Neutral
50,b mikepompeo ssilovehk wuhancoronavirus spread world thanks who help ccp ccp xe x xa http co brkppqcqop,Neutral
51,b houseforeigngop who wuhancoronavirus spread world thanks who help ccp ccp co xe x xa http co nl zqoxpvh,Neutral
52,b senrickscott secblinken jakesullivan right ccp enemy democracy nplease stop wall street help xe x xa http co nqtcwfhrqo,Negative
53,b jenvanlaar this drive crazy virus fundamentalist nthey focused wuhancoronavirus xe x xa http co rkhe zvstr,Negative
54,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case xe x xa http co ibamyvkxzt,Neutral
55,b ferric memorial day weekend life return normal whether virus fundamentalist like xe x xa http co phe ebzqcz,Neutral
56,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co hz r zvdp,Neutral
57,b reeb matthew toneshyus xan desanctis varadmehta trump said fine lockdown come xe x xa http co ftjwhucint,Neutral
58,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co oqjfjxehyv,Neutral
59,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co hn esbaavp,Neutral
60,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co odjwc lrvv,Neutral
61,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co dnv u fqsp,Positive
62,b who drtedros thank reminding world who amp tedros failed take action stop wuhanvirus xe x xa http co caxkaqxbot,Positive
63,b xe x x cb thought highly transmissible owing mutation part virus genome code spike xe x xa http co kxeckrsgjo,Negative
64,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co zg xrcpz,Neutral
65,b drlimengyan the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa xe x xa http co hrftmst q,Positive
66,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co cizqctsyrm,Neutral
67,b lawrencesellin the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa xe x xa http co ha tgijdf,Neutral
68,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co ssdhqnayj,Neutral
69,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co ie tj v,Positive
70,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co hzvbab lhn,Positive
71,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co p qq cyxa,Neutral
72,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co aafteqiaz,Neutral
73,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co g rk is,Neutral
74,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co xsuiyyml,Positive
75,b the truth covid xef xbc x n xe xb xad xe x xb xe x x xe xaf x xe xad xa xe xb x xe xae x e xe xaa x c xe xae xa n laborunfall sarscov sarscov virus pandemie n xe x xab xe xb xbd xe xa xa drlimengyan n xc xa xe x xa http co mixntrvhcv,Positive
76,b globaltimesnews thank god virtual tour anyways one going take real tour ground zer xe x xa http co yr kw kjyd,Positive
77,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case xe x xa http co jce img ul,Positive
,,
